time,day_of_week,weather,power_consumption_kWh,solar_irradiance_Wm2,solar_generation_kWh
2024-01-08 15:00,0,Sunny,0.79,400.77,1.844
2024-01-08 16:00,0,Sunny,0.6,504.78,2.322
2024-01-08 17:00,0,Sunny,1.69,476.4,2.191
2024-01-08 18:00,0,Night,1.86,0.0,0.0
2024-01-08 19:00,0,Night,2.67,0.0,0.0
2024-01-08 20:00,0,Night,2.61,0.0,0.0
2024-01-08 21:00,0,Night,2.44,0.0,0.0
2024-01-08 22:00,0,Night,1.75,0.0,0.0
2024-01-08 23:00,0,Cloudy,0.87,0.0,0.0
2024-01-09 00:00,1,Cloudy,0.37,0.0,0.0
2024-01-09 01:00,1,Cloudy,0.47,0.0,0.0
2024-01-09 02:00,1,Night,0.57,0.0,0.0
2024-01-09 03:00,1,Cloudy,0.47,0.0,0.0
2024-01-09 04:00,1,Cloudy,0.49,0.0,0.0
2024-01-09 05:00,1,Cloudy,1.39,0.0,0.0
2024-01-09 06:00,1,Sunny,1.05,181.93,0.837
2024-01-09 07:00,1,Sunny,1.05,321.67,1.48
2024-01-09 08:00,1,Sunny,1.23,299.62,1.378
2024-01-09 09:00,1,Sunny,0.57,372.57,1.714
2024-01-09 10:00,1,Sunny,0.85,545.4,2.509
2024-01-09 11:00,1,Sunny,0.62,445.21,2.048
2024-01-09 12:00,1,Sunny,0.52,566.22,2.605
2024-01-09 13:00,1,Rainy,0.61,60.52,0.278
2024-01-09 14:00,1,Rainy,0.64,61.64,0.284
2024-01-09 15:00,1,Sunny,0.76,509.96,2.346
2024-01-09 16:00,1,Cloudy,0.87,130.9,0.602
2024-01-09 17:00,1,Cloudy,2.85,125.68,0.578
2024-01-09 18:00,1,Night,1.65,0.0,0.0
2024-01-09 19:00,1,Cloudy,2.3,0.0,0.0
2024-01-09 20:00,1,Cloudy,1.51,0.0,0.0
2024-01-09 21:00,1,Night,1.96,0.0,0.0
2024-01-09 22:00,1,Night,2.59,0.0,0.0
2024-01-09 23:00,1,Night,1.15,0.0,0.0
2024-01-10 00:00,2,Night,0.38,0.0,0.0
2024-01-10 01:00,2,Night,0.31,0.0,0.0
2024-01-10 02:00,2,Night,0.41,0.0,0.0
2024-01-10 03:00,2,Night,0.38,0.0,0.0
2024-01-10 04:00,2,Night,0.69,0.0,0.0
2024-01-10 05:00,2,Night,1.16,0.0,0.0
2024-01-10 06:00,2,Cloudy,1.39,106.82,0.491
2024-01-10 07:00,2,Sunny,1.45,230.6,1.061
2024-01-10 08:00,2,Sunny,1.71,362.54,1.668
2024-01-10 09:00,2,Sunny,0.51,502.81,2.313
2024-01-10 10:00,2,Stormy,0.54,0.0,0.0
2024-01-10 11:00,2,Stormy,0.88,0.0,0.0
2024-01-10 12:00,2,Stormy,0.74,0.0,0.0
2024-01-10 13:00,2,Rainy,0.6,64.55,0.297
2024-01-10 14:00,2,Rainy,0.71,60.87,0.28
2024-01-10 15:00,2,Rainy,0.68,26.39,0.121
2024-01-10 16:00,2,Rainy,0.66,46.06,0.212
2024-01-10 17:00,2,Sunny,1.95,331.44,1.525
2024-01-10 18:00,2,Cloudy,2.48,0.0,0.0
2024-01-10 19:00,2,Night,2.79,0.0,0.0
2024-01-10 20:00,2,Night,2.67,0.0,0.0
2024-01-10 21:00,2,Night,2.22,0.0,0.0
2024-01-10 22:00,2,Night,2.58,0.0,0.0
2024-01-10 23:00,2,Night,1.04,0.0,0.0
2024-01-11 00:00,3,Night,0.38,0.0,0.0
2024-01-11 01:00,3,Night,0.65,0.0,0.0
2024-01-11 02:00,3,Night,0.69,0.0,0.0
2024-01-11 03:00,3,Cloudy,0.44,0.0,0.0
2024-01-11 04:00,3,Cloudy,0.67,0.0,0.0
2024-01-11 05:00,3,Cloudy,1.05,0.0,0.0
2024-01-11 06:00,3,Cloudy,1.08,137.94,0.635
2024-01-11 07:00,3,Cloudy,1.11,115.45,0.531
2024-01-11 08:00,3,Sunny,1.31,358.77,1.65
2024-01-11 09:00,3,Sunny,0.77,438.95,2.019
2024-01-11 10:00,3,Sunny,0.67,442.58,2.036
2024-01-11 11:00,3,Sunny,0.57,413.39,1.902
2024-01-11 12:00,3,Cloudy,0.58,244.95,1.127
2024-01-11 13:00,3,Rainy,0.54,63.73,0.293
2024-01-11 14:00,3,Cloudy,0.84,227.35,1.046
2024-01-11 15:00,3,Stormy,0.53,0.0,0.0
2024-01-11 16:00,3,Cloudy,0.84,213.45,0.982
2024-01-11 17:00,3,Cloudy,2.46,132.43,0.609
2024-01-11 18:00,3,Night,2.4,0.0,0.0
2024-01-11 19:00,3,Cloudy,1.57,0.0,0.0
2024-01-11 20:00,3,Cloudy,2.56,0.0,0.0
2024-01-11 21:00,3,Cloudy,1.71,0.0,0.0
2024-01-11 22:00,3,Rainy,2.14,0.0,0.0
2024-01-11 23:00,3,Night,0.93,0.0,0.0
2024-01-12 00:00,4,Night,0.57,0.0,0.0
2024-01-12 01:00,4,Night,0.59,0.0,0.0
2024-01-12 02:00,4,Night,0.43,0.0,0.0
2024-01-12 03:00,4,Stormy,0.48,0.0,0.0
2024-01-12 04:00,4,Stormy,0.35,0.0,0.0
2024-01-12 05:00,4,Stormy,1.09,0.0,0.0
2024-01-12 06:00,4,Rainy,1.09,34.79,0.16
2024-01-12 07:00,4,Rainy,1.76,16.51,0.076
2024-01-12 08:00,4,Cloudy,1.92,87.03,0.4
2024-01-12 09:00,4,Rainy,0.62,43.04,0.198
2024-01-12 10:00,4,Cloudy,0.67,184.77,0.85
2024-01-12 11:00,4,Cloudy,0.68,148.08,0.681
2024-01-12 12:00,4,Sunny,0.57,577.45,2.656
2024-01-12 13:00,4,Sunny,0.57,637.41,2.932
2024-01-12 14:00,4,Sunny,0.75,611.94,2.815
2024-01-12 15:00,4,Sunny,0.89,471.03,2.167
2024-01-12 16:00,4,Cloudy,0.53,128.33,0.59
2024-01-12 17:00,4,Cloudy,1.85,165.48,0.761
2024-01-12 18:00,4,Night,1.8,0.0,0.0
2024-01-12 19:00,4,Night,2.02,0.0,0.0
2024-01-12 20:00,4,Night,2.45,0.0,0.0
2024-01-12 21:00,4,Night,1.55,0.0,0.0
2024-01-12 22:00,4,Cloudy,1.83,0.0,0.0
2024-01-12 23:00,4,Rainy,1.15,0.0,0.0
2024-01-13 00:00,5,Night,0.81,0.0,0.0
2024-01-13 01:00,5,Night,0.94,0.0,0.0
2024-01-13 02:00,5,Cloudy,0.85,0.0,0.0
2024-01-13 03:00,5,Cloudy,0.78,0.0,0.0
2024-01-13 04:00,5,Stormy,0.85,0.0,0.0
2024-01-13 05:00,5,Stormy,0.92,0.0,0.0
2024-01-13 06:00,5,Sunny,1.76,168.99,0.777
2024-01-13 07:00,5,Sunny,1.49,249.85,1.149
2024-01-13 08:00,5,Sunny,1.36,240.37,1.106
2024-01-13 09:00,5,Sunny,1.61,398.97,1.835
2024-01-13 10:00,5,Sunny,1.03,469.74,2.161
2024-01-13 11:00,5,Sunny,1.27,427.01,1.964
2024-01-13 12:00,5,Sunny,1.97,638.02,2.935
2024-01-13 13:00,5,Sunny,1.66,613.78,2.823
2024-01-13 14:00,5,Sunny,1.36,669.04,3.078
2024-01-13 15:00,5,Cloudy,1.66,153.11,0.704
2024-01-13 16:00,5,Sunny,1.74,271.82,1.25
2024-01-13 17:00,5,Sunny,2.25,294.77,1.356
2024-01-13 18:00,5,Night,2.18,0.0,0.0
2024-01-13 19:00,5,Cloudy,3.17,0.0,0.0
2024-01-13 20:00,5,Night,2.62,0.0,0.0
2024-01-13 21:00,5,Night,1.87,0.0,0.0
2024-01-13 22:00,5,Night,2.92,0.0,0.0
2024-01-13 23:00,5,Night,1.49,0.0,0.0
2024-01-14 00:00,6,Night,0.51,0.0,0.0
2024-01-14 01:00,6,Cloudy,0.99,0.0,0.0
2024-01-14 02:00,6,Cloudy,0.76,0.0,0.0
2024-01-14 03:00,6,Night,0.92,0.0,0.0
2024-01-14 04:00,6,Cloudy,0.64,0.0,0.0
2024-01-14 05:00,6,Cloudy,0.65,0.0,0.0
2024-01-14 06:00,6,Sunny,1.3,302.37,1.391
2024-01-14 07:00,6,Sunny,1.55,205.36,0.945
2024-01-14 08:00,6,Sunny,1.85,224.56,1.033
2024-01-14 09:00,6,Sunny,1.96,475.64,2.188
2024-01-14 10:00,6,Cloudy,1.43,135.7,0.624
2024-01-14 11:00,6,Rainy,1.47,48.96,0.225
2024-01-14 12:00,6,Cloudy,1.62,242.73,1.117
2024-01-14 13:00,6,Cloudy,1.46,287.31,1.322
2024-01-14 14:00,6,Cloudy,1.38,224.99,1.035
2024-01-14 15:00,6,Rainy,1.23,37.88,0.174
2024-01-14 16:00,6,Rainy,1.31,30.55,0.141
2024-01-14 17:00,6,Rainy,2.7,35.86,0.165
2024-01-14 18:00,6,Night,1.82,0.0,0.0
2024-01-14 19:00,6,Cloudy,2.95,0.0,0.0
2024-01-14 20:00,6,Cloudy,2.22,0.0,0.0
2024-01-14 21:00,6,Night,2.34,0.0,0.0
2024-01-14 22:00,6,Night,2.56,0.0,0.0
2024-01-14 23:00,6,Night,1.3,0.0,0.0
2024-01-15 00:00,0,Night,0.56,0.0,0.0
2024-01-15 01:00,0,Cloudy,0.58,0.0,0.0
2024-01-15 02:00,0,Cloudy,0.53,0.0,0.0
2024-01-15 03:00,0,Night,0.46,0.0,0.0
2024-01-15 04:00,0,Cloudy,0.36,0.0,0.0
2024-01-15 05:00,0,Cloudy,1.21,0.0,0.0
2024-01-15 06:00,0,Cloudy,1.31,95.72,0.44
2024-01-15 07:00,0,Cloudy,1.32,138.64,0.638
2024-01-15 08:00,0,Cloudy,1.35,96.21,0.443
2024-01-15 09:00,0,Cloudy,0.8,149.0,0.685
2024-01-15 10:00,0,Sunny,0.88,537.93,2.474
2024-01-15 11:00,0,Sunny,0.89,527.78,2.428
2024-01-15 12:00,0,Cloudy,0.65,251.71,1.158
2024-01-15 13:00,0,Sunny,0.52,656.91,3.022
2024-01-15 14:00,0,Sunny,0.88,681.63,3.136
2024-01-15 15:00,0,Sunny,0.69,472.24,2.172
2024-01-15 16:00,0,Rainy,0.67,39.06,0.18
2024-01-15 17:00,0,Cloudy,2.79,184.4,0.848
2024-01-15 18:00,0,Rainy,2.67,0.0,0.0
2024-01-15 19:00,0,Rainy,1.95,0.0,0.0
2024-01-15 20:00,0,Night,2.12,0.0,0.0
2024-01-15 21:00,0,Night,1.71,0.0,0.0
2024-01-15 22:00,0,Night,1.84,0.0,0.0
2024-01-15 23:00,0,Rainy,0.95,0.0,0.0
2024-01-16 00:00,1,Rainy,0.63,0.0,0.0
2024-01-16 01:00,1,Rainy,0.34,0.0,0.0
2024-01-16 02:00,1,Rainy,0.66,0.0,0.0
2024-01-16 03:00,1,Rainy,0.53,0.0,0.0
2024-01-16 04:00,1,Cloudy,0.69,0.0,0.0
2024-01-16 05:00,1,Cloudy,1.29,0.0,0.0
2024-01-16 06:00,1,Rainy,1.46,28.31,0.13
2024-01-16 07:00,1,Rainy,1.6,32.71,0.15
2024-01-16 08:00,1,Cloudy,1.03,105.01,0.483
2024-01-16 09:00,1,Cloudy,0.59,187.33,0.862
2024-01-16 10:00,1,Cloudy,0.64,157.56,0.725
2024-01-16 11:00,1,Cloudy,0.76,163.37,0.752
2024-01-16 12:00,1,Rainy,0.89,62.16,0.286
2024-01-16 13:00,1,Cloudy,0.78,255.3,1.174
2024-01-16 14:00,1,Cloudy,0.5,233.62,1.075
2024-01-16 15:00,1,Rainy,0.9,46.29,0.213
2024-01-16 16:00,1,Sunny,0.68,554.65,2.551
2024-01-16 17:00,1,Sunny,1.7,449.6,2.068
2024-01-16 18:00,1,Rainy,2.74,0.0,0.0
2024-01-16 19:00,1,Cloudy,2.32,0.0,0.0
2024-01-16 20:00,1,Cloudy,1.99,0.0,0.0
2024-01-16 21:00,1,Rainy,2.93,0.0,0.0
2024-01-16 22:00,1,Night,2.92,0.0,0.0
2024-01-16 23:00,1,Rainy,1.16,0.0,0.0
2024-01-17 00:00,2,Night,0.49,0.0,0.0
2024-01-17 01:00,2,Stormy,0.32,0.0,0.0
2024-01-17 02:00,2,Stormy,0.47,0.0,0.0
2024-01-17 03:00,2,Stormy,0.42,0.0,0.0
2024-01-17 04:00,2,Cloudy,0.4,0.0,0.0
2024-01-17 05:00,2,Cloudy,1.17,0.0,0.0
2024-01-17 06:00,2,Rainy,1.33,25.81,0.119
2024-01-17 07:00,2,Rainy,1.9,24.19,0.111
2024-01-17 08:00,2,Rainy,1.31,18.95,0.087
2024-01-17 09:00,2,Cloudy,0.83,185.49,0.853
2024-01-17 10:00,2,Sunny,0.56,361.32,1.662
2024-01-17 11:00,2,Sunny,0.61,452.25,2.08
2024-01-17 12:00,2,Sunny,0.53,578.57,2.661
2024-01-17 13:00,2,Sunny,0.54,605.23,2.784
2024-01-17 14:00,2,Sunny,0.55,517.91,2.382
2024-01-17 15:00,2,Sunny,0.64,484.13,2.227
2024-01-17 16:00,2,Cloudy,0.59,155.67,0.716
2024-01-17 17:00,2,Cloudy,1.89,186.46,0.858
2024-01-17 18:00,2,Cloudy,2.89,0.0,0.0
2024-01-17 19:00,2,Night,1.9,0.0,0.0
2024-01-17 20:00,2,Stormy,2.34,0.0,0.0
2024-01-17 21:00,2,Stormy,3.0,0.0,0.0
2024-01-17 22:00,2,Cloudy,1.57,0.0,0.0
2024-01-17 23:00,2,Cloudy,1.07,0.0,0.0
2024-01-18 00:00,3,Night,0.37,0.0,0.0
2024-01-18 01:00,3,Cloudy,0.61,0.0,0.0
2024-01-18 02:00,3,Rainy,0.42,0.0,0.0
2024-01-18 03:00,3,Cloudy,0.51,0.0,0.0
2024-01-18 04:00,3,Rainy,0.58,0.0,0.0
2024-01-18 05:00,3,Rainy,1.11,0.0,0.0
2024-01-18 06:00,3,Sunny,1.19,295.87,1.361
2024-01-18 07:00,3,Sunny,1.26,306.3,1.409
2024-01-18 08:00,3,Sunny,1.93,215.51,0.991
2024-01-18 09:00,3,Sunny,0.54,339.83,1.563
2024-01-18 10:00,3,Cloudy,0.86,146.88,0.676
2024-01-18 11:00,3,Cloudy,0.7,189.06,0.87
2024-01-18 12:00,3,Rainy,0.77,68.75,0.316
2024-01-18 13:00,3,Cloudy,0.81,194.38,0.894
2024-01-18 14:00,3,Sunny,0.81,558.64,2.57
2024-01-18 15:00,3,Sunny,0.71,474.14,2.181
2024-01-18 16:00,3,Stormy,0.71,0.0,0.0
2024-01-18 17:00,3,Stormy,1.65,0.0,0.0
2024-01-18 18:00,3,Cloudy,1.73,0.0,0.0
2024-01-18 19:00,3,Cloudy,2.69,0.0,0.0
2024-01-18 20:00,3,Cloudy,2.36,0.0,0.0
2024-01-18 21:00,3,Cloudy,1.69,0.0,0.0
2024-01-18 22:00,3,Night,1.83,0.0,0.0
2024-01-18 23:00,3,Night,0.94,0.0,0.0
2024-01-19 00:00,4,Night,0.35,0.0,0.0
2024-01-19 01:00,4,Night,0.54,0.0,0.0
2024-01-19 02:00,4,Night,0.53,0.0,0.0
2024-01-19 03:00,4,Night,0.67,0.0,0.0
2024-01-19 04:00,4,Night,0.59,0.0,0.0
2024-01-19 05:00,4,Cloudy,1.14,0.0,0.0
2024-01-19 06:00,4,Sunny,1.34,302.1,1.39
2024-01-19 07:00,4,Rainy,1.32,25.05,0.115
2024-01-19 08:00,4,Rainy,1.2,19.69,0.091
2024-01-19 09:00,4,Rainy,0.67,37.69,0.173
2024-01-19 10:00,4,Rainy,0.54,40.11,0.185
2024-01-19 11:00,4,Cloudy,0.62,206.33,0.949
2024-01-19 12:00,4,Cloudy,0.69,197.46,0.908
2024-01-19 13:00,4,Cloudy,0.52,256.11,1.178
2024-01-19 14:00,4,Cloudy,0.54,246.97,1.136
2024-01-19 15:00,4,Cloudy,0.58,129.02,0.594
2024-01-19 16:00,4,Cloudy,0.6,214.57,0.987
2024-01-19 17:00,4,Cloudy,2.23,174.59,0.803
2024-01-19 18:00,4,Night,1.53,0.0,0.0
2024-01-19 19:00,4,Night,1.51,0.0,0.0
2024-01-19 20:00,4,Night,1.53,0.0,0.0
2024-01-19 21:00,4,Night,1.66,0.0,0.0
2024-01-19 22:00,4,Night,2.75,0.0,0.0
2024-01-19 23:00,4,Rainy,0.84,0.0,0.0
2024-01-20 00:00,5,Rainy,0.73,0.0,0.0
2024-01-20 01:00,5,Rainy,0.72,0.0,0.0
2024-01-20 02:00,5,Rainy,0.52,0.0,0.0
2024-01-20 03:00,5,Stormy,0.95,0.0,0.0
2024-01-20 04:00,5,Stormy,0.8,0.0,0.0
2024-01-20 05:00,5,Cloudy,0.82,0.0,0.0
2024-01-20 06:00,5,Cloudy,1.35,83.44,0.384
2024-01-20 07:00,5,Sunny,1.91,214.79,0.988
2024-01-20 08:00,5,Sunny,1.55,309.89,1.425
2024-01-20 09:00,5,Sunny,1.5,315.67,1.452
